build_type,build_type_source,build_type_confidence,BUILD_TYPE
CONCRETE,FIELD DERIVED,HIGH CONFIDENCE,1000
MANUFCHOME,FIELD DERIVED,HIGH CONFIDENCE,1010
MASONRY,FIELD DERIVED,HIGH CONFIDENCE,1020
STEEL,FIELD DERIVED,HIGH CONFIDENCE,1030
WOOD,FIELD DERIVED,HIGH CONFIDENCE,1040
CONCRETE,FIELD DERIVED,LOW CONFIDENCE,1050
MANUFCHOME,FIELD DERIVED,LOW CONFIDENCE,1060
MASONRY,FIELD DERIVED,LOW CONFIDENCE,1070
STEEL,FIELD DERIVED,LOW CONFIDENCE,1080
WOOD,FIELD DERIVED,LOW CONFIDENCE,1090
CONCRETE,PARCEL DERIVED,HIGH CONFIDENCE,2000
MANUFCHOME,PARCEL DERIVED,HIGH CONFIDENCE,2010
MASONRY,PARCEL DERIVED,HIGH CONFIDENCE,2020
STEEL,PARCEL DERIVED,HIGH CONFIDENCE,2030
WOOD,PARCEL DERIVED,HIGH CONFIDENCE,2040
CONCRETE,PARCEL DERIVED,LOW CONFIDENCE,2050
MANUFCHOME,PARCEL DERIVED,LOW CONFIDENCE,2060
MASONRY,PARCEL DERIVED,LOW CONFIDENCE,2070
STEEL,PARCEL DERIVED,LOW CONFIDENCE,2080
WOOD,PARCEL DERIVED,LOW CONFIDENCE,2090
CONCRETE,HAZUS DERIVED,,3000
MANUFCHOME,HAZUS DERIVED,,3010
MASONRY,HAZUS DERIVED,,3020
STEEL,HAZUS DERIVED,,3030
WOOD,HAZUS DERIVED,,3040
CONCRETE,ESTIMATED,,4000
MANUFCHOME,ESTIMATED,,4010
MASONRY,ESTIMATED,,4020
STEEL,ESTIMATED,,4030
WOOD,ESTIMATED,,4040
CONCRETE,RESEARCH DERIVED,HIGH CONFIDENCE,5000
MANUFCHOME,RESEARCH DERIVED,HIGH CONFIDENCE,5010
MASONRY,RESEARCH DERIVED,HIGH CONFIDENCE,5020
STEEL,RESEARCH DERIVED,HIGH CONFIDENCE,5030
WOOD,RESEARCH DERIVED,HIGH CONFIDENCE,5040
CONCRETE,RESEARCH DERIVED,LOW CONFIDENCE,5050
MANUFCHOME,RESEARCH DERIVED,LOW CONFIDENCE,5060
MASONRY,RESEARCH DERIVED,LOW CONFIDENCE,5070
STEEL,RESEARCH DERIVED,LOW CONFIDENCE,5080
WOOD,RESEARCH DERIVED,LOW CONFIDENCE,5090
NOT APPLICABLE,,,NA
NOT PROVIDED,,,NP
