flood_zone_type,flood_zone_source,flood_zone_confidence,STATIC_BFE
NO,FIELD DERIVED,HIGH CONFIDENCE,1000
YES,FIELD DERIVED,HIGH CONFIDENCE,1010
NO,FIELD DERIVED,LOW CONFIDENCE,1020
YES,FIELD DERIVED,LOW CONFIDENCE,1030
NO,PARCEL DERIVED,HIGH CONFIDENCE,2000
YES,PARCEL DERIVED,HIGH CONFIDENCE,2010
NO,PARCEL DERIVED,LOW CONFIDENCE,2020
YES,PARCEL DERIVED,LOW CONFIDENCE,2030
NO,HAZUS DERIVED,,3000
YES,HAZUS DERIVED,,3010
NO,ESTIMATED,,4000
YES,ESTIMATED,,4010
NO,RESEARCH DERIVED,HIGH CONFIDENCE,5000
YES,RESEARCH DERIVED,HIGH CONFIDENCE,5010
NO,RESEARCH DERIVED,LOW CONFIDENCE,5020
YES,RESEARCH DERIVED,LOW CONFIDENCE,5030
NOT APPLICABLE,,,NA
NOT PROVIDED,,,NP
