occupancy_type,occupancy_source,occupancy_confidence,OCCUP_TYPE
AGR1,FIELD DERIVED,HIGH CONFIDENCE,1000
COM1,FIELD DERIVED,HIGH CONFIDENCE,1005
COM10,FIELD DERIVED,HIGH CONFIDENCE,1010
COM2,FIELD DERIVED,HIGH CONFIDENCE,1015
COM3,FIELD DERIVED,HIGH CONFIDENCE,1020
COM4,FIELD DERIVED,HIGH CONFIDENCE,1025
COM5,FIELD DERIVED,HIGH CONFIDENCE,1030
COM6,FIELD DERIVED,HIGH CONFIDENCE,1035
COM7,FIELD DERIVED,HIGH CONFIDENCE,1040
COM8,FIELD DERIVED,HIGH CONFIDENCE,1045
COM9,FIELD DERIVED,HIGH CONFIDENCE,1050
EDU1,FIELD DERIVED,HIGH CONFIDENCE,1055
EDU2,FIELD DERIVED,HIGH CONFIDENCE,1060
EPPL,FIELD DERIVED,HIGH CONFIDENCE,1065
EPPM,FIELD DERIVED,HIGH CONFIDENCE,1070
EPPS,FIELD DERIVED,HIGH CONFIDENCE,1075
ESSH,FIELD DERIVED,HIGH CONFIDENCE,1080
ESSL,FIELD DERIVED,HIGH CONFIDENCE,1085
ESSM,FIELD DERIVED,HIGH CONFIDENCE,1090
GOV1,FIELD DERIVED,HIGH CONFIDENCE,1095
GOV2,FIELD DERIVED,HIGH CONFIDENCE,1100
IND1,FIELD DERIVED,HIGH CONFIDENCE,1105
IND2,FIELD DERIVED,HIGH CONFIDENCE,1110
IND3,FIELD DERIVED,HIGH CONFIDENCE,1115
IND4,FIELD DERIVED,HIGH CONFIDENCE,1120
IND5,FIELD DERIVED,HIGH CONFIDENCE,1125
IND6,FIELD DERIVED,HIGH CONFIDENCE,1130
NGC,FIELD DERIVED,HIGH CONFIDENCE,1135
NGCV,FIELD DERIVED,HIGH CONFIDENCE,1140
OCV,FIELD DERIVED,HIGH CONFIDENCE,1145
OPP,FIELD DERIVED,HIGH CONFIDENCE,1150
ORFL,FIELD DERIVED,HIGH CONFIDENCE,1155
ORFM,FIELD DERIVED,HIGH CONFIDENCE,1160
ORFS,FIELD DERIVED,HIGH CONFIDENCE,1165
OTF,FIELD DERIVED,HIGH CONFIDENCE,1170
PCVS,FIELD DERIVED,HIGH CONFIDENCE,1175
PPPL,FIELD DERIVED,HIGH CONFIDENCE,1180
PPPM,FIELD DERIVED,HIGH CONFIDENCE,1185
PPPS,FIELD DERIVED,HIGH CONFIDENCE,1190
PSTAS,FIELD DERIVED,HIGH CONFIDENCE,1195
PSTBC,FIELD DERIVED,HIGH CONFIDENCE,1200
PSTGC,FIELD DERIVED,HIGH CONFIDENCE,1205
PSTGS,FIELD DERIVED,HIGH CONFIDENCE,1210
PSTGW,FIELD DERIVED,HIGH CONFIDENCE,1215
PWTL,FIELD DERIVED,HIGH CONFIDENCE,1220
PWTM,FIELD DERIVED,HIGH CONFIDENCE,1225
PWTS,FIELD DERIVED,HIGH CONFIDENCE,1230
REL1,FIELD DERIVED,HIGH CONFIDENCE,1240
RES1,FIELD DERIVED,HIGH CONFIDENCE,1245
