num_units,num_units_source,num_units_confidence,NUM_UNITS
MULTI,FIELD DERIVED,HIGH CONFIDENCE,1000
SINGLE,FIELD DERIVED,HIGH CONFIDENCE,1010
MULTI,FIELD DERIVED,LOW CONFIDENCE,1020
SINGLE,FIELD DERIVED,LOW CONFIDENCE,1030
MULTI,PARCEL DERIVED,HIGH CONFIDENCE,2000
SINGLE,PARCEL DERIVED,HIGH CONFIDENCE,2010
MULTI,PARCEL DERIVED,LOW CONFIDENCE,2020
SINGLE,PARCEL DERIVED,LOW CONFIDENCE,2030
MULTI,HAZUS DERIVED,,3000
SINGLE,HAZUS DERIVED,,3010
MULTI,ESTIMATED,,4000
SINGLE,ESTIMATED,,4010
MULTI,RESEARCH DERIVED,HIGH CONFIDENCE,5000
SINGLE,RESEARCH DERIVED,HIGH CONFIDENCE,5010
MULTI,RESEARCH DERIVED,LOW CONFIDENCE,5020
SINGLE,RESEARCH DERIVED,LOW CONFIDENCE,5030
NOT APPLICABLE,,,NA
NOT PROVIDED,,,NP
