pwsid,pws_name
IA5857011,MORNING SUN WATER DEPARTMENT
IL1794320,DEER CREEK
IL1870200,ROSEVILLE
KS2013106,"CENTRALIA, CITY OF"
KS2013702,"NORTON, CITY OF"
KS2014106,"NATOMA, CITY OF"
LA1015048,WEST CENTRAL BOSSIER WATER SYSTEM
LA1019124,CORBINA TRAILER PARK WATER SYSTEM
LA1027011,SUMMERFIELD WATER SYSTEM
LA1041010,LIDDIEVILLE WATER SYSTEM
LA1055201,ILE DES CANNES WATER SYSTEM
LA1061003,DUBACH WATER SYSTEM
LA1063103,DIVERSION WATER - MONTROSE SUBDIVISION
KS2016308,ROOKS CO RWD 3
KS2018503,"STAFFORD, CITY OF"
KS2018902,"MOSCOW, CITY OF"
KS2020502,"NEODESHA, CITY OF"
LA1073046,SOUTH MONROE WS GOWC
LA1073120,GOWC NORTH WATER SYSTEM
LA1085021,"PLEASANT HILL WATER SYSTEM, TOWN OF"
LA1115032,VILLAGE OF SIMPSON WATER SYSTEM
LA1127001,ATLANTA WATER SUPPLY
NY0400873,HILLVIEW VILLAGE
NY5201346,KINNEBROOK VILLAGE
OH4504203,ALEXANDRIA VILLAGE PWS
VT0005046,ST JOHNSBURY CENTER F D 1
SC3310003,GSW&SA-NICHOLS TOWN OF (3310003)
SC2220001,GEORGETOWN RURAL COMM WA (2220001)
CO0101110,NORTH WASHINGTON WUA
CO0101510,MILE HIGH WC
CO0107135,BASELINE WD
CO0113900,SUGAR CITY TOWN OF
CO0115352,HOTCHKISS TOWN OF
CO0119329,GYPSUM TOWN OF
CO0119233,EAGLE TOWN OF
WI7500127,JUNCTION CITY WATERWORKS
WI4200463,FAIRWATER WATERWORKS
CO0126505,MERIDIAN LAKE PARK
CO0136400,KIM TOWN OF
CO0154725,STEAMBOAT SPRINGS CITY OF
WV3304302,ELLENBORO-LAMBERTON PSD
WV3305302,ELIZABETH WATER DEPT
AZ0410162,TUCSON WATER SILVERBELL WEST
AZ0410278,RAINDANCE WATER COOP
IL1130250,CARLOCK
IL1235100,CAMP GROVE
IL1595050,WEST LIBERTY-DUNDAS WATER DISTRICT
IA5842000,GRANDVIEW MUNI WATER DEPT
HI0000153,KULANI CORRECTIONAL FACILITY
IA2122067,FOSTORIA MUNICIPAL WATER SUPPLY
IL0410250,NEWMAN
KS2020516,WILSON CO RWD 7
LA1079006,EMC WATER SYSTEM  INC
LA1097018,"MAMOU ROAD WATER DISTRICT, INC"
LA1107001,LAKE BRUIN WATER DISTRICT #1
LA1111024,DARBONNE WS NORTH
LA1123005,NEW CARROLL WATER SYSTEM
KS2004501,"LECOMPTON, CITY OF"
MD0170011,OYSTER COVE
LA1023002,CAMERON PARISH WW DISTRICT 2
LA1055164,TESI BEAU PARTERRE
LA1059014,MANIFEST RHINEHART WATER SYSTEM
LA1061002,CHOUDRANT WATER SYSTEM
KS2019118,"CONWAY SPRINGS, CITY OF"
MO5010071,BILLINGS PWS
MO5011066,BAKERSFIELD PWS
MO5024230,GREENE COUNTY PWSD 5
MO2024313,KNOX COUNTY PUBLIC WATER & SEWER DIST 1
MO2024557,SALINE COUNTY PWSD 3
MO2024559,SCHUYLER COUNTY CONSOLIDATED PWSD 1
OK1021528,WAGONER CO. RWD #5
NY3201483,SUNSHINE ESTATES
OH5500612,LAURA VILLAGE PWS
HI0000315,KAHUKU AIR BASE
SC0310001,ALLENDALE TOWN OF (SC0310001)
AL0000592,WALNUT GROVE (TOWN OF)
AL0000643,GREENE COUNTY WATER AUTHORITY
AL0000663,HENRY COUNTY WATER AUTHORITY
AL0000909,FAUNSDALE WATER WORKS
AL0001046,EXCEL WATER SYSTEM
AZ0401010,PINECREST WATER COMPANY
AZ0401012,ST JOHNS CITY OF
CO0105900,WALSH TOWN OF
CO0106300,LAS ANIMAS CITY OF
CO0163010,WRAY CITY OF
IA6377701,NORTH CORP WATER
AK2249028,ASHTON PARK
LA1079037,WARD 6 WATER ASSOCIATION OF RAPIDES
LA1083005,MANGHAM WATER SYSTEM
LA1105027,TICKFAW WATER SYSTEM
KS2009302,"DEERFIELD, CITY OF"
KS2009502,KINGMAN CO RWD 1
KS2009701,"MULLINVILLE, CITY OF"
KS2011310,"INMAN, CITY OF"
LA1119034,GIL-GAL WATER SYSTEM
ID4430104,FIR GROVE ESTATES
MO1010762,STEWARTSVILLE PWS
MO1024143,CLAY COUNTY PWSD 3
ND0900412,GRANDIN CITY OF
ND1300520,KILLDEER CITY OF
ND1600159,CARRINGTON CITY OF
ND2701506,ARNEGARD CITY OF
NM3504121,ANCONES MDWWCA
NM3515310,VAUGHN DURAN WATER SYSTEM
NM3519625,VILLANUEVA MDWCA
NM3523402,RESERVE WATER WORKS
NM3524830,EDGEWOOD MEADOWS WATER CORP.
NM3526604,SPRINGER WATER SYSTEM
NM3528222,DORA WATER SYSTEM
NM3529007,GARFIELD MDWCA
NM3563619,MOUNTAIN ORCHARD MDWCA
OK2005801,OTTAWA CO RWD # 4
OK2006907,MARLOW PWA
CO0101031,ESTATES AT BROMLEY
CO0101040,CRESTVIEW WSD
CO0101188,CREEKSIDE SOUTH ESTATES METRO DISTRICT
CO0119125,ASPEN MESA ESTATES
CO0119352,HOMESTEAD PARK
CO0153200,DEL NORTE TOWN OF
IL1150500,WARRENSBURG
IL1210350,ODIN
LA1063119,CARTER PLANTATION
LA1097034,ST LANDRY WWD 3  PORT BARRE AREA A
LA1101015,ST MARY PARISH W&S #2 BAYOU VISTA
MD0070029,TOWN OF CHARLESTOWN
IL1490300,GRIGGSVILLE
IL1490800,PLEASANT HILL
IA5440028,KEOTA WATER DEPT
LA1039018,PINE PRAIRIE CORRECTIONAL FACILITY
IL0035100,CENTRAL ALEXANDER CNTY PWD
IL0110500,LAMOILLE
NY4417731,CONIFER WATER DISTRICT
VT0005382,EDGEMONT CONDOMINIUMS
VT0005504,FIDDLEHEAD CONDOMINIUMS
KS2017316,SEDGWICK CO RWD 1
KS2020110,"BARNES, CITY OF"
IL0170050,ARENZVILLE
LA1061013,MINERAL SPRINGS WATER SYSTEM
LA1061004,FELLOWSHIP WATER SYSTEM
LA1073060,CADEVILLE WATER DISTRICT
MD0050205,CEDAR MOBILE HOME PARK
LA1127002,VILLAGE OF CALVIN WATER SYSTEM
MD0120001,CITY OF ABERDEEN
MO6024300,JEFFERSON CO PWSD  8
CO0101070,HAZELTINE HEIGHTS WATER
MO4021566,SCOTT COUNTY PWSD 4
ND3900333,FAIRMOUNT CITY OF
ND4000277,DUNSEITH CITY OF
ND4600487,HOPE CITY OF
NH1212080,BLACK MOUNTAIN MEADOW CONDOS
NM3521913,MESCALERO RIDGE WATER CO-OP
NM3572307,VALVERDE MOBILE HOME PARK
MO2010472,LINNEUS PWS
MO2010523,MILAN PWS
MO2010736,SHELBINA PWS
NY1316138,HICKORY HILL ESTATES
NY5621317,GREEN MANSIONS HOA TENNIS & SWIM
WV3302835,WVAWC BLUEFIELD DISTRICT
WV3303001,MINGO COUNTY PSD CHATTAROY
WV3303029,MINGO COUNTY PSD - NAUGATUCK
WV3303207,UNION TOWN OF
VT0005649,COLD BROOK FD BASE AREA
IA6950701,SOUTHWEST REG WATER DISTRICT (RED OAK)
KS2001304,BROWN CO RWD 1
KS2000703,"ISABEL, CITY OF"
KS2002501,"MINNEOLA, CITY OF"
KS2004901,"HOWARD, CITY OF"
KS2007902,"HESSTON, CITY OF"
KS2007908,"WALTON, CITY OF"
KS2009506,"ZENDA, CITY OF"
IL0670450,LAHARPE
IA2915000,DANVILLE WATER SUPPLY
LA1059010,TOWN OF TULLOS WATER SYSTEM
LA1061017,RUSTON WATER SYSTEM
MI0005860,SAGINAW CHARTER TOWNSHIP
MI0005990,SEBEWAING LIGHT & WATER
LA1085036,SABINE PARISH WATER DISTRICT 1
LA1111021,SARDIS WATER SYSTEM
LA1111022,CONCORD WATER SYSTEM
MD0150002,TOWN OF POOLESVILLE
MO5010285,FORSYTH PWS
MO5010733,SENECA PWS
MO5010751,SOUTHWEST CITY PWS
MO5010828,WALKER PWS
NY2202350,CHAUMONT VILLAGE
NM3501207,MOONGATE WEST
NM3553405,CLOVIS WEST LLC
NY1319115,CASTLE GATE PARK
OH8702503,TONTOGANY VILLAGE
OH8703112,WAYNE VILLAGE
ND3900183,CHRISTINE CITY OF
NY2902852,SANDS POINT (V)
OH7605712,WAYNESBURG VILLAGE PWS
OH5201903,MEDINA CO/NORTHWEST PWS
ND3300174,CENTER CITY OF
ND3400707,MOUNTAIN CITY OF
WV3305504,BRENTON PSD
AZ0407484,OLIVE AVENUE HOA
MO1010193,CREIGHTON PWS
MO1010254,EMMA PWS
MO1010346,HARDIN PWS
MO1010698,ROCKVILLE PWS
MO1010453,LATHROP PWS
MO1070639,NODAWAY CO EAST PWSD 1
MO2010491,MALTA BEND PWS
MO3021326,MONTGOMERY COUNTY PWSD 1 JONESBURG
MO3024438,OSAGE COUNTY PWSD 2 NORTH
MO4024207,DUNKLIN COUNTY PWSD 2
MO4036224,RIDGETOP WATERWORKS CORP  SUBDIVISION
MO5010185,CONWAY PWS
MO5010550,MOUNTAIN GROVE PWS
MO5010585,NORWOOD PWS
MO5010765,STOTTS CITY PWS
MO5030088,TWIN ISLAND HGTS HOME OWNERS ASSN
MO5036046,OZARKS CWC KIMBERLING CITY WATER
MO6010258,EUREKA PWS
MO6024294,JEFFERSON COUNTY PWSD 3
NE3118706,"YORK, CITY OF"
NM3513419,BOLES ACRES WATER SYSTEM
NM3513619,HIGH ROLLS COMMUNITY WATER USERS COOP
NM3518825,SAN JOSE MDWCA
NM3522209,SANTA CLARA WATER SYSTEM
NM3575430,ECHO VALLEY WATER COMPANY
NY3290094,BRIDGEWATER WD
NY3501320,PINE GROVE MOBILE HOME PARK
NY5030112,HORNELLSVILLE WATER DISTRICT 4 (ARKPORT)
NY5503393,WALLKILL WATER DISTRICT
OH2800212,OHMAN FAMILY LIVING AT BLOSSOM
OH4564712,"BUCKEYE LAKE, VILLAGE OF PWS"
CO0162559,NUNN TOWN OF
IA0220075,CORNING MUNI WATER DEPARTMENT
IA2952075,MIDDLETOWN WATER SUPPLY
IA3615040,FARRAGUT WATER SUPPLY
IA3809067,CONRAD WATER SUPPLY
IL0010500,MENDON
IL0075275,OAK LAWN MHP
IL0290150,HUMBOLDT
IL1130700,HUDSON
IL1970130,GODLEY PUBLIC WATER DISTRICT
IA6342036,KNOXVILLE WATER WORKS
IA8930038,FARMINGTON WATER SUPPLY
IA9620082,CASTALIA WATER WORKS
KS2008513,"WHITING, CITY OF"
KS2008904,"ESBON, CITY OF"
KS2009501,"CUNNINGHAM, CITY OF"
LA1021008,KELLY WATER DISTRICT
LA1049014,QUITMAN WATER SYSTEM
LA1049019,WESTON WATER SYSTEM
LA1059003,TOWN OF JENA WATER SYSTEM
LA1061006,GRAMBLING WATER SYSTEM
LA1063030,KILLIAN WATER SYSTEM
LA1069009,PROVENCAL WATER SYSTEM
LA1079015,VILLAGE OF MCNARY WATER SYSTEM
LA1097037,ST LANDRY WWD 3 PORT BARRE AREA D
LA1119011,GERMANTOWN WATER SYSTEM
MA2034030,REGENCY AT BOLTON CONDOMINIUMS
MO1010489,MAITLAND PWS
MO1010548,MOUND CITY PWS
MO1010744,SKIDMORE PWS
MO1024186,DAVIESS COUNTY PWSD 1
MO1024482,PLATTE COUNTY PWSD 8
MO3010033,ASHLAND PWS
MO3010054,BELLE PWS
MO3024090,CAMDEN COUNTY PWSD 1
MO4010483,MARBLE HILL SOUTH PWS
MO4024196,DENT COUNTY PWSD 1
MO5031533,GREEN ACRES MHP
MO5010339,HALFWAY PWS
MO5010374,HOLLISTER PWS
NE3116302,"LITCHFIELD, VILLAGE OF"
NM3528322,ELIDA WATER SYSTEM
NM3574826,JUNIPER HILLS RANCH
NM3522532,EL SHADDAI WATER CO OP
NY3630017,YATES W.D. #4
OK2002135,KANSAS PUBLIC WORKS AUTHORITY
OK2003505,MANNSVILLE PUBLIC WORKS AUTHORITY
LA1019091,TESI LAKE STREET
WA5327750,GLACIER SPRINGS WATER ASSN
WA5328340,TUKES MOUNTAIN HOMEOWNERS
WA5329067,CIRCLE C RANCH
WA5350425,MAJESTIC MOBILE MANOR
WA5353213,MEADOW RIDGE
WA5374743,ROYALWOOD
WA5307009,DERBY DOWNS
MN1410006,ARCO
WA5340800,NORTHSHORE UTILITY DISTRICT
WA5362700,OAKESDALE TOWN OF
WA5363913,CONAGRA FOODS LAMB WESTON INC-FARM
WA5364700,WASHINGTON SOLDIERS HOME COLONY
WA5366204,PARKLANE WATER ASSOCIATION
WA5366950,PENN COVE WATER AND SEWER DISTRICT
WA5367715,PIONEER HILL WEST
WA5369050,POTLATCH BEACH MUTUAL
WA5370000,PURDY ACRES EAST
WA5376650,SCHLUTER WATER ASSOCIATION
WA5382300,SOUTH PRAIRIE TOWN OF
WA5383290,SPRING GLEN MOBILE HOME PARK
WA5336314,WHIDBEY WEST WATER ASSOC.
WA5339991,BETS WATER SYSTEM
WA5350225,MUCK CREEK HILL
WA5350295,MAHONEYVILLE WATER ASSOC
WA5350850,MANSFIELD WATER SYSTEM
WA5363381,CLASSIC HEIGHTS
WA5384850,SUMAS RURAL WATER ASSOCIATION
WA5384898,SUMMERHILL
WA5389450,TRITON HEAD ASSN
WA5390975,VALLEYHI COMMUNITY CLUB
WA5396878,WILDERNESS RIM ASSOCIATION
WA53AD011,SUNDQUIST SUNNYSLOPE DOMESTIC
WI6170263,DOWNSVILLE SANITARY DISTRICT
WI6630269,VIOLA WATERWORKS
WA5316964,PLACE EIGHTEEN HOA
WA5317049,SAUK MOUNTAIN ESTATES
WA5326140,BUNK FOSS SYSTEM
WA5334751,KOOSKOOSKIE CABIN OWNERS INC.
WA5335354,RANCH
WA5337250,JUNIPER BEACH WATER DISTRICT
WA5337400,KAHLOTUS CITY OF
WA5339268,SOLAR PINES WATER ASSN
WA5361761,SUNSET WEST
WA5373975,ROLLING FIRS EVERGREEN TERRACE
WA5374364,ROSEDALE COMMUNITY CLUB
WA5385129,SUN HARBOR WATER DISTRICT #3
WA5300367,STEVENS CO PUD - ADDY
WA5300515,AGATE WEST
WA5300588,ISLANDWOOD ESTATES
WA5300800,ALBION WATER DEPT
